Shortest Path 
 Pop : 51,93, g = 35.4853, rhs = 35.4853, h = 56
 Pop : 49,93, g = 35.4853, rhs = 35.4853, h = 56
 Pop : 51,92, g = 36.4853, rhs = 36.4853, h = 55
 Pop : 51,91, g = 37.4853, rhs = 37.4853, h = 54
 Pop : 49,91, g = 37.4853, rhs = 37.4853, h = 54
 Pop : 49,90, g = 38.4853, rhs = 38.4853, h = 53
 Pop : 51,90, g = 38.4853, rhs = 38.4853, h = 53
 Pop : 51,89, g = 39.4853, rhs = 39.4853, h = 52
 Pop : 49,89, g = 39.4853, rhs = 39.4853, h = 52
 Pop : 49,88, g = 40.4853, rhs = 40.4853, h = 51
 Pop : 51,88, g = 40.4853, rhs = 40.4853, h = 51
 Pop : 49,87, g = 41.4853, rhs = 41.4853, h = 50
 Pop : 50,115, g = 13.6569, rhs = 13.6569, h = 78
 Pop : 47,126, g = 2.82843, rhs = 2.82843, h = 89
 Pop : 44,104, g = 24.8995, rhs = 24.8995, h = 67
 Pop : 47,125, g = 3.82843, rhs = 3.82843, h = 88
 Pop : 44,103, g = 25.8995, rhs = 25.8995, h = 66
 Pop : 44,102, g = 26.8995, rhs = 26.8995, h = 65
 Pop : 44,101, g = 27.8995, rhs = 27.8995, h = 64
 Pop : 44,100, g = 28.8995, rhs = 28.8995, h = 63
 Pop : 44,99, g = 29.8995, rhs = 29.8995, h = 62
 Pop : 44,98, g = 30.8995, rhs = 30.8995, h = 61
 Pop : 44,97, g = 31.8995, rhs = 31.8995, h = 60
 Pop : 48,92, g = 36.8995, rhs = 36.8995, h = 55
 Pop : 48,90, g = 38.8995, rhs = 38.8995, h = 53
 Pop : 48,89, g = 39.8995, rhs = 39.8995, h = 52
 Pop : 48,88, g = 40.8995, rhs = 40.8995, h = 51
 Pop : 50,87, g = 41.8995, rhs = 41.8995, h = 50
 Pop : 48,86, g = 42.8995, rhs = 42.8995, h = 49
 Pop : 50,86, g = 42.8995, rhs = 42.8995, h = 49
 Pop : 50,85, g = 43.8995, rhs = 43.8995, h = 48
 Pop : 48,85, g = 43.8995, rhs = 43.8995, h = 48
 Pop : 48,84, g = 44.8995, rhs = 44.8995, h = 47
 Pop : 50,84, g = 44.8995, rhs = 44.8995, h = 47
 Pop : 42,126, g = 3, rhs = 3, h = 89
 Pop : 51,114, g = 15.0711, rhs = 15.0711, h = 77
 Pop : 45,106, g = 23.0711, rhs = 23.0711, h = 69
 Pop : 51,106, g = 23.0711, rhs = 23.0711, h = 69
 Pop : 51,101, g = 28.0711, rhs = 28.0711, h = 64
 Pop : 48,124, g = 5.24264, rhs = 5.24264, h = 87
 Pop : 47,91, g = 38.3137, rhs = 38.3137, h = 54
 Pop : 47,89, g = 40.3137, rhs = 40.3137, h = 52
 Pop : 47,88, g = 41.3137, rhs = 41.3137, h = 51
 Pop : 47,87, g = 42.3137, rhs = 42.3137, h = 50
 Pop : 51,86, g = 43.3137, rhs = 43.3137, h = 49
 Pop : 47,85, g = 44.3137, rhs = 44.3137, h = 48
 Pop : 51,85, g = 44.3137, rhs = 44.3137, h = 48
 Pop : 51,84, g = 45.3137, rhs = 45.3137, h = 47
 Pop : 47,84, g = 45.3137, rhs = 45.3137, h = 47
 Pop : 47,83, g = 46.3137, rhs = 46.3137, h = 46
 Pop : 51,83, g = 46.3137, rhs = 46.3137, h = 46
 Pop : 49,83, g = 46.3137, rhs = 46.3137, h = 46
 Pop : 51,82, g = 47.3137, rhs = 47.3137, h = 45
 Pop : 47,82, g = 47.3137, rhs = 47.3137, h = 45
 Pop : 49,82, g = 47.3137, rhs = 47.3137, h = 45
