
 Pop : 1,13, g = 13.2426, rhs = 13.2426, h = 9.69536 key :22.938,13.2426
 Pop : 10,12, g = 13.4853, rhs = 13.4853, h = 9.48683 key :22.9721,13.4853
 Pop : 8,13, g = 13.6569, rhs = 13.6569, h = 9.32738 key :22.9842,13.6569
 Pop : 6,14, g = 13.8284, rhs = 13.8284, h = 9.21954 key :23.048,13.8284
 Pop : 14,10, g = 13.7279, rhs = 13.7279, h = 9.38083 key :23.1088,13.7279
 Pop : 16,4, g = 13.2426, rhs = 13.2426, h = 9.89949 key :23.1421,13.2426
 Pop : 17,2, g = 13.4142, rhs = 13.4142, h = 9.79796 key :23.2122,13.4142
 Pop : 15,7, g = 13.4853, rhs = 13.4853, h = 9.74679 key :23.2321,13.4853
 Pop : 2,14, g = 13.8284, rhs = 13.8284, h = 9.43398 key :23.2624,13.8284
 Pop : 13,11, g = 13.7279, rhs = 13.7279, h = 9.53939 key :23.2673,13.7279
 Pop : 9,13, g = 14.0711, rhs = 14.0711, h = 9.27362 key :23.3447,14.0711
 Pop : 11,12, g = 13.8995, rhs = 13.8995, h = 9.48683 key :23.3863,13.8995
 Pop : 7,14, g = 14.2426, rhs = 14.2426, h = 9.16515 key :23.4078,14.2426
 Pop : 4,15, g = 14, rhs = 14, h = 9.53939 key :23.5394,14
 Pop : 15,8, g = 13.8995, rhs = 13.8995, h = 9.69536 key :23.5949,13.8995
 Pop : 16,6, g = 14.0711, rhs = 14.0711, h = 9.59166 key :23.6627,14.0711
 Pop : 17,1, g = 13.8284, rhs = 13.8284, h = 9.84886 key :23.6773,13.8284
 Pop : 14,11, g = 14.1421, rhs = 14.1421, h = 9.53939 key :23.6815,14.1421
 Pop : 10,13, g = 14.4853, rhs = 14.4853, h = 9.21954 key :23.7048,14.4853
 Pop : 15,9, g = 14.3137, rhs = 14.3137, h = 9.43398 key :23.7477,14.3137
 Pop : 17,3, g = 13.8284, rhs = 13.8284, h = 9.94987 key :23.7783,13.8284
 Pop : 3,15, g = 14.4142, rhs = 14.4142, h = 9.38083 key :23.795,14.4142
 Pop : 12,12, g = 14.3137, rhs = 14.3137, h = 9.48683 key :23.8005,14.3137
 Pop : 5,15, g = 14.4142, rhs = 14.4142, h = 9.48683 key :23.901,14.4142
 Pop : 1,14, g = 14.2426, rhs = 14.2426, h = 9.69536 key :23.938,14.2426
 Pop : 8,14, g = 14.6569, rhs = 14.6569, h = 9.32738 key :23.9842,14.6569
 Pop : 15,10, g = 14.7279, rhs = 14.7279, h = 9.38083 key :24.1088,14.7279
 Pop : 11,13, g = 14.8995, rhs = 14.8995, h = 9.21954 key :24.119,14.8995
 Pop : 17,4, g = 14.2426, rhs = 14.2426, h = 9.89949 key :24.1421,14.2426
 Pop : 6,15, g = 14.8284, rhs = 14.8284, h = 9.32738 key :24.1558,14.8284
 Pop : 18,2, g = 14.4142, rhs = 14.4142, h = 9.79796 key :24.2122,14.4142
 Pop : 13,12, g = 14.7279, rhs = 14.7279, h = 9.48683 key :24.2148,14.7279
